workbook_row,iranian_year,gregorian_calendar_year_proxy,workbook_GDP_PPP_input_IRR_per_intl_dollar,workbook_line_IRR_exact_30_day,WDI_CPI_FP_CPI_TOTL_2010_100,WDI_calendar_CPI_ratio_to_2021,WDI_calendar_effective_factor_IRR_per_2021_intl_dollar,WDI_calendar_line_IRR_nearest_365_over_12,selected_CPI_factor,selected_effective_factor_IRR_per_2021_intl_dollar,corrected_line_IRR_exact_365_over_12,corrected_line_IRR_nearest,difference_from_workbook_IRR_exact,difference_from_workbook_percent,status
11,1379,2000,950.19025841983205,236597.37434653821,25.615453804342,0.024829416502647925408490555448180949372766989785658,1192.3344767626463741941698592556517838548119775787,301015,0.024829416502647925408490555448180949372766989785658,1192.3344767626463741941698592556517838548119775787,301014.77477936976588510313238458308993234607383956,301015,64417.40043283155588510313238458308993234607383956,27.226591423825783172455561514505386697373156992395,WDI calendar-year CPI proxy; PIP survey factor unavailable
12,1380,2001,1066.8478025878701,265645.10284437967,28.5034033705372,0.027628746280890906457627249784084494358862146505410,1326.7612123273539760328550130524106634875361196942,334952,0.027628746280890906457627249784084494358862146505410,1326.7612123273539760328550130524106634875361196942,334951.92439547657253262785517018984208629088955114,334952,69306.82155109690253262785517018984208629088955114,26.090005352629540082057379060125119704920176619567,WDI calendar-year CPI proxy; PIP survey factor unavailable
13,1381,2002,1347.60735134329,335554.23048447922,32.5896323907668,0.031589585040315489901179434068641731010492581246910,1516.9648205859723416007442947140522018042436011610,382970,0.031589585040315489901179434068641731010492581246910,1516.9648205859723416007442947140522018042436011610,382970.41033043360073995457006968509544716299914310,382970,47416.17984595438073995457006968509544716299914310,14.130705423529916259300064645281022025623022789888,WDI calendar-year CPI proxy; PIP survey factor unavailable
14,1382,2003,1495.1160743673399,372283.90251746768,37.9564968412533,0.036791761576879372378555553331071495176685996546638,1766.7787635793295975261481175703164643579466133925,446038,0.036791761576879372378555553331071495176685996546638,1766.7787635793295975261481175703164643579466133925,446038.02202196491797545547684827281073103327210606,446038,73754.11950449723797545547684827281073103327210606,19.811256679581162135982394271285538929093712903595,WDI calendar-year CPI proxy; PIP survey factor unavailable
15,1383,2004,1815.7070255394201,452111.04935931566,43.559448423577,0.042222780661854704656739295466582627669548315041456,2027.5819644230313363906184268673664430416623125099,511880,0.042222780661854704656739295466582627669548315041456,2027.5819644230313363906184268673664430416623125099,511879.96343496445279961487701622388659955966464573,511880,59768.91407564879279961487701622388659955966464573,13.219963139663811886308297136037650588460819188099,WDI calendar-year CPI proxy; PIP survey factor unavailable
16,1384,2005,2115.5343646689298,526768.05680256349,49.4108405341712,0.047894616614635068533096278862503826893211394787028,2299.9494424231982861284174387370286444502162067450,580641,0.04899794435656232,2352.9323913269007397571875000,594017.38996040381592453329427083333333333333333334,594017,67249.33315784032592453329427083333333333333333334,12.766403028695011876341435840626034759916077924730,PIP survey-specific CPI factor
17,1385,2006,2351.51718071803,585527.77799878956,54.3597800471328,0.052691692682555685785676148249726328261358496381453,2530.3100384051765406785779183721031148668638349816,638798,0.05479326993844068,2631.2299701121775616529687500,664275.93287123682691897240234375000000000000000001,664276,78748.15487244726691897240234375000000000000000001,13.449089493515038679828048359124323326050328642013,PIP survey-specific CPI factor
18,1386,2007,2814.6762933396199,700854.39704156539,63.7863315003927,0.061828980430975627561302277216480188304396776446182,2969.0921259898835046052934289198192681985288062711,749572,0.061828980430975627561302277216480188304396776446182,2969.0921259898835046052934289198192681985288062711,749572.04964052933976681137024271603941728691821653,749572,48717.65259896394976681137024271603941728691821653,6.9511802743351647369604630036523761473972879742948,WDI calendar-year CPI proxy; PIP survey factor unavailable
19,1387,2008,3297.8030924026998,821152.97000827233,79.9947630269704,0.077540039087286835832668181621959094796382919809312,3723.5535488091556753767859346290267597719587242416,940042,0.077540039087286835832668181621959094796382919809312,3723.5535488091556753767859346290267597719587242416,940042.12300977809321283108241321971406076241292416,940042,118889.15300150576321283108241321971406076241292416,14.478319794703789334276884176280033072033186077904,WDI calendar-year CPI proxy; PIP survey factor unavailable
20,1388,2009,3428.3079829491398,853648.68775433581,90.8352971982194,0.088047919997969880345741557429875695204817797781790,4228.1529495315740368511514354226065744018337992941,1067432,0.09009112137036779,4326.2696104293030265809765625,1092202.8153996311265855890413411458333333333333333,1092203,238554.1276452953165855890413411458333333333333333,27.945234505408945298689714965826199713838140833420,PIP survey-specific CPI factor
